id,question,generated_answer,retrieved_book,retrieved_pages,confidence,retrieval_time,llm_time,total_time,retrieval_accuracy,precision_at_5,recall_at_5,mrr,ndcg_at_5,hit_rate_at_5,faithfulness,answer_relevance,groundedness,hallucination,latency,explainability,clinical_reliability,status
Q011,Why is it necessary to rule out a parotid malignancy in a patient with sudden facial nerve paralysis?,Facial nerve weakness that is associated with a parotid or submandibular tumor is an ominous finding. Malignant parotid gland tumors are associated with facial nerve paralysis in 10% to 20% of patients.,cancer-principles-and-practice-of-oncology-6e,612,High,4.95,37.62,42.65,1.0,0.4,1.0,0.5,0.6934,1.0,1.0,0.8377,1.0,0.0,42.65,0.0,0.9594,SUCCESS
Q012,What neurological symptoms comprise Pancoast syndrome in lung cancer patients?,"Horner’s syndrome, including ptosis, miosis, and anhidrosis, due to involvement of the cervical sympathetic nerves.",22.-Textbook-of-Medical-Oncology-Fourth-Edition-Cavalli-Textbook-of-Medical-Oncology-PDFDrive-,149,Medium,2.02,42.94,45.04,1.0,0.2,1.0,0.2,0.3869,1.0,0.0,0.644,0.5833,0.3333,45.04,0.0,0.4735,SUCCESS
Q013,How common are paraneoplastic syndromes in lung cancer patients?,,The MD Anderson Manual of Medical Oncology 3e,339,Medium,3.56,42.17,45.81,1.0,0.6,1.0,0.5,0.7123,1.0,0.0,0.0,0.0,0.0,45.81,0.0,0.0,GENERATION_FAILED
Q014,Which specific paraneoplastic symptom is strongly suggestive of a thymoma?,"Myasthenia gravis (Chapter 32, Neoplasms of the Mediastinum).",cancer-principles-and-practice-of-oncology-6e,1818,Medium,9.61,49.04,58.86,1.0,0.2,1.0,0.3333,0.5,1.0,0.0,0.6857,1.0,0.0,58.86,0.0,0.6714,SUCCESS
Q015,What environmental and dietary risk factors are associated with esophageal squamous cell carcinoma?,"Tobacco and ethanol exposure are the primary risk factors associated with esophageal squamous cell carcinomas in the United States and western Europe. Chemicals in tobacco are known to influence different stages of malignant transformation, with a five- to tenfold increase in esophageal squamous cell cancers noted in smokers relative to nonsmokers (1, 14).",cancer-principles-and-practice-of-oncology-6e,722,High,8.89,62.38,71.43,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8696,0.9722,0.0667,71.43,0.0,0.9438,SUCCESS
Q016,What physical sign usually indicates friability of an esophageal tumor or invasion into major vessels?,Pleural effusion due to a massive pleural effusion can ensue.,cancer-principles-and-practice-of-oncology-6e,640,Medium,7.47,38.98,46.54,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6844,1.0,0.0,46.54,0.0,0.9211,SUCCESS
Q017,What is the recommended initial evaluation for patients suspected of having gastric adenocarcinoma?,"Upper endoscopy is used routinely for the initial diagnosis and staging of gastric adenocarcinoma and should be performed in any patient with localized disease for diagnostic accuracy of more than 95% (96,97).",cancer-principles-and-practice-of-oncology-6e,754,High,7.67,51.19,58.97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7841,1.0,0.0,58.97,0.0,0.946,SUCCESS
Q018,What defines the threshold for recommending palliative therapy in gastric cancer?,A dose of 5000 cGy or greater increases the risk of late complications.,cancer-principles-and-practice-of-oncology-6e,766,High,2.61,30.79,33.48,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5989,1.0,0.0,33.48,0.0,0.8997,SUCCESS
Q019,What tests are included in the clinical evaluation of carcinoma of the colon?,,cancer-principles-and-practice-of-oncology-6e,1057,Medium,7.68,29.41,37.28,1.0,0.2,1.0,0.3333,0.5,1.0,0.0,0.0,0.0,0.0,37.28,0.0,0.0,GENERATION_FAILED
Q020,What is the primary determinant of 5-year survival in colon cancer?,,cancer-principles-and-practice-of-oncology-6e,852; 851,High,1.01,28.14,29.22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,29.22,1.0,1.0,GENERATION_FAILED
Q021,Which congenital disease is associated with an increased risk of cholangiocarcinoma?,,Oxford-Handbook-of-Oncology-4th-Ed,374; 373,Medium,1.09,29.81,30.96,1.0,0.6,1.0,0.5,0.7328,1.0,0.0,0.0,0.0,0.0,30.96,0.0,0.0,GENERATION_FAILED
Q022,Which genetic syndrome is strongly associated with clear cell renal cell carcinomas?,Birt-Hogg-Dubé syndrome.,cancer-principles-and-practice-of-oncology-6e,928,High,0.99,30.06,31.12,1.0,0.6,1.0,1.0,0.8855,1.0,1.0,0.6637,1.0,0.0,31.12,0.0,0.9159,SUCCESS
Q023,"What is the classic triad of symptoms for renal cell carcinoma, and how often does it occur?",,cancer-principles-and-practice-of-oncology-6e,954,High,1.73,27.38,29.19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,29.19,1.0,1.0,GENERATION_FAILED
Q024,In what percentage of ovarian cancer cases is the CA-125 marker elevated?,"80% of women with advanced ovarian cancer have elevations of CA-125 (Book: cancer-principles-and-practice-of-oncology-6e, Page: 1107).",cancer-principles-and-practice-of-oncology-6e,1107,High,1.03,31.36,32.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.871,0.5882,0.0,32.45,1.0,0.8648,SUCCESS
Q025,What is the strongest independent predictor of prolonged survival in ovarian cancer?,Cisplatin sensitivity.,cancer-principles-and-practice-of-oncology-6e,1121,Medium,0.88,24.38,25.33,1.0,0.2,1.0,0.3333,0.5,1.0,0.0,0.6106,1.0,0.0,25.33,0.0,0.6526,SUCCESS
Q026,When is cervical cancer staging typically performed?,,cancer-principles-and-practice-of-oncology-6e,546,High,1.62,24.37,26.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,26.05,1.0,1.0,GENERATION_FAILED
Q027,How quickly are the majority of recurrent cervical cancer cases diagnosed?,,cancer-principles-and-practice-of-oncology-6e,1069,High,0.98,27.33,28.38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,28.38,1.0,1.0,GENERATION_FAILED
Q028,What is the typical radiographic appearance of a spinal hemangioma?,,cancer-principles-and-practice-of-oncology-6e,619,Medium,0.92,31.34,32.34,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,32.34,1.0,1.0,GENERATION_FAILED
Q029,What is the therapeutic goal when evaluating patients with Cancer of Unknown Primary (CUP)?,"The therapeutic goal when evaluating patients with Carcinoma of Unknown Primary (CUP) is to identify those who will be long-term survivors, depending on histologic features, sites of disease, and performance status.",The MD Anderson Manual of Medical Oncology 3e,963; 961; 959,High,6.02,40.71,46.86,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9208,0.7826,0.1,46.86,0.0,0.9008,SUCCESS
Q030,What imaging modality is recommended for women with isolated axillary lymph node metastases and suspected occult breast carcinoma?,"Breast magnetic resonance imaging (MRI) has been evaluated as an alternative in patients with a high suspicion for breast primary cancer. In the setting of isolated axillary adenopathy, MRI is sensitive in detecting occult primary breast cancers (>75%) and should be performed in women with isolated axillary adenopathy and negative mammography findings (28-33).",The MD Anderson Manual of Medical Oncology 3e,966,High,8.95,50.23,59.31,1.0,0.4,1.0,0.3333,0.5706,1.0,1.0,0.8346,1.0,0.0,59.31,0.0,0.9587,SUCCESS
Q031,What marker aids in the diagnosis of hepatocellular cancer in patients presenting with liver-only metastatic disease?,,cancer-principles-and-practice-of-oncology-6e,1462; 1461,High,7.07,33.9,41.07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,41.07,1.0,1.0,GENERATION_FAILED
Q032,What does 'neoadjuvant treatment' refer to in oncology?,Neoadjuvant treatment denotes the use of chemotherapy as the initial treatment for patients who present with localized cancer for which there is an alternative but less than completely effective local treatment.,cancer-principles-and-practice-of-oncology-6e,184,High,2.63,35.88,38.6,1.0,0.2,1.0,0.3333,0.5,1.0,1.0,0.8945,1.0,0.0,38.6,0.0,0.9736,SUCCESS
Q033,What proportion of patients with any stage of cancer experience significant pain?,,cancer-principles-and-practice-of-oncology-6e,2195,Medium,2.01,31.41,33.48,1.0,0.4,1.0,0.3333,0.5706,1.0,0.0,0.0,0.0,0.0,33.48,0.0,0.0,GENERATION_FAILED
Q034,How does early detection affect observed survival rates via lead-time bias?,"Early detection can result in a perceived increase in survival rates due to ""lead time bias"", which is the advancement of diagnosis by earlier detection, rather than actual improvement in treatment or disease progression. This results in an apparent lengthening of survival without necessarily reflecting improved outcomes.",cancer-principles-and-practice-of-oncology-6e,149; 150,Medium,1.94,36.72,38.76,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9034,0.5152,0.5882,38.76,0.0,0.5826,SUCCESS
Q035,What enzyme helps cancer cells maintain immortality by replenishing chromosome ends?,Human telomerase reverse transcriptase (hTERT) appears critical for the cellular immortalization typical of cancer cells.,cancer-principles-and-practice-of-oncology-6e,633,High,2.47,37.13,39.69,1.0,0.4,1.0,0.5,0.6934,1.0,1.0,0.765,0.9167,0.0,39.69,0.0,0.9204,SUCCESS
Q036,When is chemotherapy generally postponed regarding patient status?,,cancer-principles-and-practice-of-oncology-6e,1325,High,2.2,27.42,29.73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,29.73,1.0,1.0,GENERATION_FAILED
Q037,What does 'palliation' mean in the context of incurable cancer treatment?,"Palliation refers to the relief of severe and distressing symptoms, such as pain, nausea, and shortness of breath, that are associated with a serious illness, including incurable cancer. (The MD Anderson Manual of Medical Oncology 3e, Page: 1187)",The MD Anderson Manual of Medical Oncology 3e,1187,Low,0.78,38.81,39.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8828,0.2,0.75,39.65,0.75,0.3332,SUCCESS
Q038,What percentage of white plaques (leukoplakia) in the head and neck may be cancer in situ?,,cancer-principles-and-practice-of-oncology-6e,546,High,1.62,28.39,30.08,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,30.08,1.0,1.0,GENERATION_FAILED
Q039,Which cranial nerve is usually the first to be affected by nasopharyngeal tumors spreading to the cavernous sinus?,,cancer-principles-and-practice-of-oncology-6e,1549,High,1.77,31.8,33.63,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,33.63,1.0,1.0,GENERATION_FAILED
Q040,"In lung cancer staging, what is the significance of a mediastinal lymph node measuring 1.5 cm on a CT scan?",A mediastinal lymph node larger than 1 cm in transverse diameter suggests lymphadenopathy and should be investigated further by more invasive techniques.,cancer-principles-and-practice-of-oncology-6e,643; 642,High,1.64,32.8,34.5,1.0,0.2,1.0,0.3333,0.5,1.0,1.0,0.7996,1.0,0.0,34.5,0.0,0.9499,SUCCESS
Q041,What percentage of patients with Small Cell Lung Cancer (SCLC) have neurologically asymptomatic brain metastases?,,cancer-principles-and-practice-of-oncology-6e,679; 678,Medium,1.67,28.38,30.12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,30.12,0.0,0.0,GENERATION_FAILED
Q042,What role does involuntary weight loss play as a prognostic factor in cancer?,"Involuntary weight loss is associated with a poorer prognosis in cancer patients. According to DeWys WD, Begg C, Lavin PT, et al., Prognostic effect of weight loss prior to chemotherapy in cancer patients (Am J Med 1980;69:491), significant involuntary weight loss before chemotherapy is linked to a worse outcome.",cancer-principles-and-practice-of-oncology-6e,2214,Medium,1.8,47.3,49.15,1.0,0.2,1.0,0.3333,0.5,1.0,0.5,0.8932,0.75,0.5455,49.15,0.0,0.6494,SUCCESS
Q043,What are the three grave prognostic signs for gastric cancer post-surgery?,,cancer-principles-and-practice-of-oncology-6e,754,High,1.76,28.54,30.37,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,30.37,1.0,1.0,GENERATION_FAILED
Q044,What allelic loss in colorectal cancer indicates a significantly worse prognosis?,,cancer-principles-and-practice-of-oncology-6e,721,Medium,1.65,37.05,38.77,1.0,0.6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,38.77,0.0,0.0,GENERATION_FAILED
Q045,What percentage of patients treated with mastectomy or RT for breast cancer have evidence of tumor at autopsy regardless of cause of death?,,cancer-principles-and-practice-of-oncology-6e,1160,Medium,1.73,34.0,35.8,1.0,0.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,35.8,0.0,0.0,GENERATION_FAILED
Q046,What tumor markers are useful for monitoring the response to therapy in advanced breast cancer?,"CEA, CA-125, CA-19-9, and CA-15-3.",cancer-principles-and-practice-of-oncology-6e,1831; 1830,Medium,1.84,29.44,31.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502,1.0,0.0,31.35,0.0,0.6255,SUCCESS
Q047,What is the typical presentation of testicular cancer?,,The MD Anderson Manual of Medical Oncology 3e,827; 826,High,0.83,30.48,31.38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,31.38,1.0,1.0,GENERATION_FAILED
Q048,"In renal cell carcinoma, which histologic pattern is associated with a poor prognosis?","The sarcomatoid variant of any histologic subtype is associated with a significantly poorer prognosis than are nonsarcomatous renal carcinomas. A median survival of only 6.6 months is reported for patients with sarcomatoid-type renal carcinoma, as compared to a 19.0-month median survival for patients with nonsarcomatous renal carcinoma (Book: cancer-principles-and-practice-of-oncology-6e, Page: 943).",cancer-principles-and-practice-of-oncology-6e,943,High,1.78,42.3,44.16,1.0,0.2,1.0,0.3333,0.5,1.0,1.0,0.7588,0.8372,0.0,44.16,1.0,0.899,SUCCESS
Q049,What is the risk of progression for Carcinoma In Situ (CIS) of the bladder if left untreated?,Approximately 30% of patients with Ta tumors and approximately 4% of patients with T1 tumors.,22.-Textbook-of-Medical-Oncology-Fourth-Edition-Cavalli-Textbook-of-Medical-Oncology-PDFDrive-,192,High,2.01,40.59,42.68,1.0,0.6,1.0,1.0,0.906,1.0,1.0,0.5907,1.0,0.0,42.68,0.0,0.8977,SUCCESS
Q050,What does a high nuclear grade (Fuhrman's system) indicate in renal cell carcinoma?,A high nuclear grade (Fuhrman's system) indicates aggressive tumor behavior and poor prognosis.,The MD Anderson Manual of Medical Oncology 3e,736; 737,Low,1.66,27.73,29.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8181,0.3333,1.0,29.46,0.0,0.2878,SUCCESS
Q051,How does prostate specific antigen (PSA) levels help in diagnosing prostate cancer?,"Prostate-specific antigen (PSA) levels can help in diagnosing prostate cancer by indicating the presence of cancerous cells in the blood. Elevated PSA levels are often associated with prostate cancer, but high PSA levels can also be caused by benign conditions such as prostatitis or benign prostatic hyperplasia.

The percentage of free PSA to total PSA ratio can improve specificity for detecting prostate cancer. A lower ratio may indicate a higher likelihood of prostate cancer.

PSA velocity (the rate of change in",cancer-principles-and-practice-of-oncology-6e,1013,Medium,1.0,50.24,51.3,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.9189,0.4667,0.5455,51.3,0.0,0.6267,SUCCESS
Q052,What type of headaches are characteristically associated with fast-growing CNS tumors?,"Headaches that are usually dull and nonthrobbing, often on the same side as the tumor, and indistinguishable from tension headaches.",cancer-principles-and-practice-of-oncology-6e,1907; 1906,High,0.85,36.48,37.39,1.0,0.2,1.0,0.3333,0.5,1.0,1.0,0.7265,1.0,0.0,37.39,0.0,0.9316,SUCCESS
Q053,What symptom is typically associated with a tumor in the parietal lobe?,Mild hemiparesis and sensory extinction may be seen with extensive parietal lobe tumors.,cancer-principles-and-practice-of-oncology-6e,1518,High,0.82,34.23,35.11,1.0,0.4,1.0,0.3333,0.5706,1.0,1.0,0.8114,1.0,0.0,35.11,0.0,0.9528,SUCCESS
Q054,What proportion of palpable 'cold' thyroid nodules prove to be cancer?,6% to 20%.,cancer-principles-and-practice-of-oncology-6e,489,Medium,0.91,34.25,35.23,1.0,0.2,1.0,0.3333,0.5,1.0,0.0,0.5655,1.0,0.0,35.23,0.0,0.6414,SUCCESS
Q055,What triad of symptoms is highly suggestive of sellar (pituitary) metastases?,"Partial or complete bitemporal hemianopsia, scotomata in either eye, and unilateral or bilateral optic atrophy.",cancer-principles-and-practice-of-oncology-6e,1519,Medium,1.03,32.85,33.94,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6066,1.0,0.0,33.94,0.0,0.9016,SUCCESS
Q056,Which immunosuppressive drug is associated with cutaneous SCC and lymphoma?,,cancer-principles-and-practice-of-oncology-6e,1383; 1382,Low,1.03,32.94,34.04,1.0,0.2,1.0,0.2,0.3869,1.0,0.0,0.0,0.0,0.0,34.04,0.0,0.0,GENERATION_FAILED
Q057,What defines the Stewart-Treves syndrome?,Stewart-Treves syndrome is defined by the presence of angiosarcoma (AS) in association with lymphedema.,cancer-principles-and-practice-of-oncology-6e,1389,Medium,0.67,33.24,33.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8479,0.75,0.4,33.98,0.0,0.5495,SUCCESS
Q058,What is the most important factor in predicting the behavior of a soft tissue sarcoma?,,cancer-principles-and-practice-of-oncology-6e,1305,High,1.81,29.58,31.46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,31.46,1.0,1.0,GENERATION_FAILED
Q059,What indicates poor survival in neuroblastoma stages III and IV?,"Stage III and IV (Evans') patients with a neuron-specific enolase level greater than 100 ng, and serum lactate dehydrogenase greater than 1000 IU.",cancer-principles-and-practice-of-oncology-6e,1573,High,1.1,30.36,31.52,1.0,0.4,1.0,1.0,0.9197,1.0,1.0,0.6901,1.0,0.0,31.52,0.0,0.9225,SUCCESS
Q060,What is the typical presentation of a Wilms tumor?,"Abdominal swelling or the presence of an abdominal mass, noticed by a parent while bathing or dressing the child. Abdominal pain, gross hematuria, and fever may also be present at diagnosis. Hypertension (present in approximately 25% of cases) has been attributed to an increase in renin activity.",cancer-principles-and-practice-of-oncology-6e,1567; 1566,High,0.95,38.43,39.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6834,1.0,0.0,39.45,0.0,0.9208,SUCCESS
Q061,Which chemotherapy regimen is most commonly given for rhabdomyosarcoma?,"Vincristine, doxorubicin, and cyclophosphamide (occasionally with actinomycin D), and the combination of ifosfamide and etoposide.",cancer-principles-and-practice-of-oncology-6e,1306,High,1.03,36.42,37.52,1.0,0.2,1.0,0.3333,0.5,1.0,1.0,0.6753,1.0,0.0,37.52,0.0,0.9188,SUCCESS
Q062,What does a sudden appearance of multiple seborrheic keratoses (Leser-Trélat sign) typically indicate?,"Acrokeratosis paraneoplastica or Bazex's syndrome is characterized by symmetric psoriasiform acral hyperkeratosis. It is almost always associated with cancer, typically squamous cell carcinoma of the esophagus, head and neck, or lungs. 208,209",cancer-principles-and-practice-of-oncology-6e,1813; 1812,High,1.97,41.71,43.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6651,1.0,0.0,43.75,0.0,0.9163,SUCCESS
Q063,What is the main objective of primary prevention in oncology?,Primary prevention of colorectal carcinoma is defined as the identification and eradication of etiologic factors responsible for this disease.,cancer-principles-and-practice-of-oncology-6e,841,High,0.71,30.88,31.66,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8102,1.0,0.0,31.66,0.0,0.9525,SUCCESS
Q064,How is Disease Free Survival (DFS) defined?,Disease-Free Survival (DFS) is defined as the period from the date of diagnosis or treatment initiation to the date of recurrence or death without evidence of disease.,22.-Textbook-of-Medical-Oncology-Fourth-Edition-Cavalli-Textbook-of-Medical-Oncology-PDFDrive-,93,Medium,0.98,41.38,42.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9329,0.5882,0.5,42.42,0.0,0.5053,SUCCESS
Q065,When is curative chemotherapy used?,"Combination chemotherapy, often used with surgery or radiation therapy, has proved to be potentially curative for selected patients with several metastatic tumors.",cancer-principles-and-practice-of-oncology-6e,1824,High,0.41,33.27,33.73,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7862,1.0,0.0,33.73,0.0,0.9466,SUCCESS
Q066,What is the goal of symptomatic treatment?,"Symptomatic treatment measures include reassurance and support for the patient and family, manipulation of the environment to provide a reorienting safe milieu, appropriate use of pharmacotherapy.",cancer-principles-and-practice-of-oncology-6e,2195,High,0.74,35.68,36.49,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7957,1.0,0.0,36.49,0.0,0.9489,SUCCESS
Q067,Why is 'tailoring' or selective targeting used in modern chemotherapy?,"Chemotherapy drugs were later found to be truly molecularly targeted. For example, the camptothecins were known to be tumor selective before their only target, topoisomerase I, was identified (11). In other instances, particularly pertaining to antimetabolites, the targets were quite precisely identified, and differential effects between tumor and normal cells spurred their development.",22.-Textbook-of-Medical-Oncology-Fourth-Edition-Cavalli-Textbook-of-Medical-Oncology-PDFDrive-,31,Medium,0.76,47.2,48.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7718,0.9762,0.0667,48.03,0.0,0.9203,SUCCESS
Q068,What are the common visual symptoms when a nasopharyngeal carcinoma ingrows into the orbit?,"Diplopia, proptosis, and epiphora. (Book: cancer-principles-and-practice-of-oncology-6e, Page: 560)",cancer-principles-and-practice-of-oncology-6e,560,Low,1.53,37.5,39.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6998,0.2727,0.0,39.09,1.0,0.4931,SUCCESS
Q069,Why is cetuximab used in head and neck cancer treatment?,"Cetuximab is used in head and neck cancer treatment due to its ability to competitively bind to the EGFR, preventing TK activation and inhibiting tumour proliferation. This is particularly effective in patients with KRAS wild-type status, as mutation in the KRAS gene correlates with poor response to cetuximab.",Oxford-Handbook-of-Oncology-4th-Ed,484; 483,High,3.71,45.74,49.54,1.0,0.4,1.0,0.5,0.6509,1.0,1.0,0.9043,0.8125,0.1429,49.54,0.0,0.8935,SUCCESS
Q070,What determines the indication of adjuvant treatment after surgery in head and neck cancer?,,cancer-principles-and-practice-of-oncology-6e,334,High,4.16,32.89,37.13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,37.13,1.0,1.0,GENERATION_FAILED
Q071,Which type of thyroid cancer requires adjuvant radiotherapy?,Differentiated thyroid cancer (pT4) with perithyroidal tumor infiltration.,cancer-principles-and-practice-of-oncology-6e,1221,High,3.01,45.2,48.29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7225,1.0,0.0,48.29,0.0,0.9306,SUCCESS
Q072,What is the significance of the BRCA1 and BRCA2 genes in breast cancer?,"The BRCA1 and BRCA2 genes are tumor suppressor genes that function to direct repair of damaged DNA, serving roles in directing repair of double-strand breaks. They are responsible for a larger group of patients with an inherited pattern of breast cancer (BRCA-2) and breast plus ovarian cancers (BRCA-1).",cancer-principles-and-practice-of-oncology-6e,1135; 1134,High,3.9,43.39,47.37,1.0,0.6,1.0,0.5,0.7328,1.0,0.5,0.8543,0.7714,0.1667,47.37,0.0,0.7398,SUCCESS
Q073,What paraneoplastic neurological symptoms can manifest in small cell lung cancer?,Symptoms suggestive of metastatic disease frequently include focal neurologic symptoms.,cancer-principles-and-practice-of-oncology-6e,642,High,2.23,30.39,32.71,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.763,1.0,0.0,32.71,0.0,0.9407,SUCCESS
Q074,What is the main treatment method for locally advanced non-small cell lung cancer (NSCLC)?,Radiotherapy as the primary control mechanism.,cancer-principles-and-practice-of-oncology-6e,659,High,3.85,30.04,33.96,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6332,1.0,0.0,33.96,0.0,0.9083,SUCCESS
Q075,What are the targeted therapy options for EGFR mutated NSCLC?,"Tyrosine kinase inhibitors (TKIs) and monoclonal antibodies. Gefitinib targets the EGFR tyrosine kinase, while Erlotinib also targets the EGFR tyrosine kinase.",The MD Anderson Manual of Medical Oncology 3e,1011,High,2.48,40.7,43.29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7514,0.8889,0.0,43.29,0.0,0.9101,SUCCESS
